id,exam_code,exam_grade_sub_id,batch_num,paper_img,paper_status,error_status
null,181025,1,0,'E1_8788658733000000101.png,E1_8788658733000000102.png',0,
null,181147,1,0,'E1_8788658733000000201.png,E1_8788658733000000202.png',0,
null,181146,1,0,'E1_8788658733000000301.png,E1_8788658733000000302.png',0,
null,181139,1,0,'E1_8788658733000000501.png,E1_8788658733000000502.png',0,
null,181138,1,0,'E1_8788658733000000601.png,E1_8788658733000000602.png',0,
null,181137,1,0,'E1_8788658733000000701.png,E1_8788658733000000702.png',0,
null,181136,1,0,'E1_8788658733000000801.png,E1_8788658733000000802.png',0,
null,181135,1,0,'E1_8788658733000000901.png,E1_8788658733000000902.png',0,
null,181133,1,0,'E1_8788658733000001101.png,E1_8788658733000001102.png',0,
null,181129,1,0,'E1_8788658733000001201.png,E1_8788658733000001202.png',0,
null,181128,1,0,'E1_8788658733000001301.png,E1_8788658733000001302.png',0,
null,181127,1,0,'E1_8788658733000001401.png,E1_8788658733000001402.png',0,
null,181122,1,0,'E1_8788658733000001501.png,E1_8788658733000001502.png',0,
null,181118,1,0,'E1_8788658733000001601.png,E1_8788658733000001602.png',0,
null,181117,1,0,'E1_8788658733000001701.png,E1_8788658733000001702.png',0,
null,181116,1,0,'E1_8788658733000001801.png,E1_8788658733000001802.png',0,
null,181115,1,0,'E1_8788658733000001901.png,E1_8788658733000001902.png',0,
null,181114,1,0,'E1_8788658733000002001.png,E1_8788658733000002002.png',0,
null,181113,1,0,'E1_8788658733000002101.png,E1_8788658733000002102.png',0,
null,181112,1,0,'E1_8788658733000002201.png,E1_8788658733000002202.png',0,
null,181247,1,0,'E1_8788658733000002301.png,E1_8788658733000002302.png',0,
null,181242,1,0,'E1_8788658733000002401.png,E1_8788658733000002402.png',0,
null,181248,1,0,'E1_8788658733000002501.png,E1_8788658733000002502.png',0,
null,181324,1,0,'E1_8788658733000002601.png,E1_8788658733000002602.png',0,
null,181254,1,0,'E1_8788658733000002701.png,E1_8788658733000002702.png',0,
null,181253,1,0,'E1_8788658733000002801.png,E1_8788658733000002802.png',0,
null,181251,1,0,'E1_8788658733000002901.png,E1_8788658733000002902.png',0,
null,181250,1,0,'E1_8788658733000003001.png,E1_8788658733000003002.png',0,
null,181103,1,0,'E1_8788658733000003101.png,E1_8788658733000003102.png',0,
null,181104,1,0,'E1_8788658733000003301.png,E1_8788658733000003302.png',0,
null,181124,1,0,'E1_8788658733000003401.png,E1_8788658733000003402.png',0,
null,181328,1,0,'E1_8788658733000004101.png,E1_8788658733000004102.png',0,
null,181327,1,0,'E1_8788658733000004201.png,E1_8788658733000004202.png',0,
null,181326,1,0,'E1_8788658733000004301.png,E1_8788658733000004302.png',0,
null,181325,1,0,'E1_8788658733000004401.png,E1_8788658733000004402.png',0,
