id,quesid,paperid,mflag,problem_paper,isviewed,isfinal,score,teacid
4966,30,506,NONE,0,1,0,0.0,13992542650
4967,30,507,NONE,0,1,0,1.0,13992542650
4968,30,508,NONE,0,1,0,0.0,13992542650
4969,30,509,NONE,0,1,0,0.0,13992542650
4970,30,510,NONE,0,1,0,1.0,13992542650
4971,30,511,NONE,0,1,0,0.0,13992542650
4972,30,512,NONE,0,1,0,0.0,13992542650
4973,30,513,NONE,0,1,0,0.0,13992542650
4974,30,514,NONE,0,1,0,0.0,13992542650
4975,30,515,NONE,0,1,0,0.0,13992542650
4976,30,516,NONE,0,1,0,0.0,13992542650
4977,30,517,NONE,0,1,0,0.0,13992542650
4978,30,518,NONE,0,1,0,1.0,13992542650
4979,30,519,NONE,0,1,0,0.0,13992542650
4980,30,520,NONE,0,1,0,0.0,13992542650
4981,30,521,NONE,0,1,0,0.0,13992542650
4982,30,522,NONE,0,1,0,1.0,13992542650
4983,30,523,NONE,0,1,0,0.0,13992542650
4984,30,524,NONE,0,1,0,0.0,13992542650
4985,30,525,NONE,0,1,0,0.0,13992542650
4986,30,526,NONE,0,1,0,0.0,13992542650
4987,30,527,NONE,0,1,0,0.0,13992542650
4988,30,528,NONE,0,1,0,1.0,13992542650
4989,30,529,NONE,0,1,0,2.0,13992542650
4990,30,530,NONE,0,1,0,1.0,13992542650
4991,30,531,NONE,0,1,0,0.0,13992542650
4992,30,532,NONE,0,1,0,2.0,13992542650
4993,30,533,NONE,0,1,0,0.0,13992542650
4994,30,534,NONE,0,1,0,0.0,13992542650
4995,30,535,NONE,0,1,0,0.0,13992542650
4999,30,536,NONE,0,1,0,1.0,13992542650
5000,30,537,NONE,0,1,0,0.0,13992542650
5001,30,538,NONE,0,1,0,0.0,13992542650
5002,30,539,NONE,0,1,0,0.0,13992542650
5003,30,540,NONE,0,1,0,0.0,13992542650
5004,30,541,NONE,0,1,0,0.0,13992542650
5005,30,542,NONE,0,1,0,0.0,13992542650
5006,30,543,NONE,0,1,0,0.0,13992542650
5007,30,544,NONE,0,1,0,0.0,13992542650
5008,30,545,NONE,0,1,0,0.0,13992542650
5009,30,546,NONE,0,1,0,2.0,13992542650
5010,30,547,NONE,0,1,0,0.0,13992542650
5011,30,548,NONE,0,1,0,0.0,13992542650
5012,30,549,NONE,0,1,0,0.0,13992542650
5013,30,550,NONE,0,1,0,3.0,13992542650
5014,30,551,NONE,0,1,0,0.0,13992542650
